timestamp,sensor_name,sensor_type,msg
1704063600000;K_CAMERA;Camera;{'timestamp': 1704063600000, 'file': 'train/split1/split1_563.png'}
1704063600000;K_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 20.18, 'humidity': 32.21}
1704063600000;LR_CAMERA;Camera;{'timestamp': 1704063600000, 'file': 'train/split10/split10_414.png'}
1704063600000;LR_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 19.65, 'humidity': 37.12}
1704063600000;BATH_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 22.0, 'humidity': 46.99}
1704063600000;B_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 22.0, 'humidity': 47.57}
1704064800000;K_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 21.1, 'humidity': 33.3}
1704064800000;LR_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 19.0, 'humidity': 44.24}
1704064800000;BATH_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 20.0, 'humidity': 48.89}
1704064800000;B_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 20.0, 'humidity': 44.73}
1704066000000;K_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 20.91, 'humidity': 35.63}
1704066000000;LR_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 19.0, 'humidity': 37.95}
1704066000000;BATH_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 20.0, 'humidity': 53.82}
1704066000000;B_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 21.9, 'humidity': 42.82}
1704066300000;LR_CAMERA;Camera;{'timestamp': 1704066300000, 'file': 'train/split10/split10_185.png'}
1704067200000;K_CAMERA;Camera;{'timestamp': 1704067200000, 'file': 'train/split2/split2_617.png'}
1704067200000;K_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 20.0, 'humidity': 37.1}
1704067200000;LR_CAMERA;Camera;{'timestamp': 1704067200000, 'file': 'train/split3/split3_320.png'}
1704067200000;LR_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 19.53, 'humidity': 47.37}
1704067200000;BATH_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 20.15, 'humidity': 49.42}
1704067200000;B_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 20.36, 'humidity': 51.54}
1704068400000;K_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 21.19, 'humidity': 30.0}
1704068400000;LR_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 19.67, 'humidity': 42.5}
1704068400000;BATH_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 20.0, 'humidity': 42.34}
1704068400000;B_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 20.0, 'humidity': 49.18}
1704069600000;K_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 22.0, 'humidity': 37.49}
1704069600000;LR_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 19.96, 'humidity': 32.51}
1704069600000;BATH_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 21.48, 'humidity': 54.23}
1704069600000;B_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 21.81, 'humidity': 44.26}
1704069900000;LR_CAMERA;Camera;{'timestamp': 1704069900000, 'file': 'train/split3/split3_574.png'}
1704070800000;K_CAMERA;Camera;{'timestamp': 1704070800000, 'file': 'train/split1/split1_586.png'}
1704070800000;K_DHT;Temperature;{'timestamp': 1704070800000, 'temperature': 21.6, 'humidity': 30.0}
1704070800000;LR_CAMERA;Camera;{'timestamp': 1704070800000, 'file': 'train/split3/split3_318.png'}
